1;4000
617;4037
1288;8419
493;8316
5806;7999
1047;3634
7607;3932
9338;2594
3022;8626
7702;7904
4754;3278
2829;9625
4360;9752
2360;838
2201;4665
4901;7445
8462;2393
6747;4899
1379;2228
8722;7126
9115;3780
9583;603
9868;3833
8160;9666
742;7356
5060;7435
9674;5142
6161;475
6273;610
4335;4262
6826;8740
2902;876
5902;805
4167;9905
2025;9591
9047;8543
7677;1130
9278;7042
4553;642
1991;1284
3419;2313
7543;5094
4193;4840
5404;1075
5941;7242
9625;275
8364;2357
4970;7780
6040;8625
7132;3448
4217;4325
5627;4447
245;2235
5927;8973
7901;6851
8206;8617
2788;772
3659;195
5742;1610
5773;6536
7791;5890
3154;9744
4544;1809
2573;9708
124;8414
5729;5312
755;4807
887;5682
5928;9308
1064;4065
720;5174
3678;7509
6275;6406
2714;1355
6734;4490
3371;8755
9935;4469
862;1906
6145;6666
9615;3516
3731;8592
6433;4123
3214;73
1387;3322
1470;3509
3145;703
5969;279
1274;5359
4898;3827
6619;1193
2770;9670
2306;8921
2689;2735
2139;4687
5833;2753
174;9498
5920;9223
5169;3293
1405;8428
6191;2428
1019;6356
1224;9562
8852;3019
8847;515
3665;5626
4197;3528
3361;343
4317;2531
9604;4949
4750;7530
9497;7628
8752;2020
875;312
2862;9468
5337;8544
7737;8308
8408;3644
1139;7679
9404;7152
733;4148
4478;1918
7992;3072
5131;9060
883;6897
988;5045
2276;6710
87;8562
3016;2659
2064;2592
3498;3478
9681;3064
5206;5280
1927;1863
4193;5025
7576;8580
1742;4644
1530;2377
3571;7632
7538;2586
7853;1155
9932;4294
4037;3162
3954;3017
9043;5831
8883;815
4679;3780
734;4710
389;7925
1599;7107
8334;3580
826;7071
3653;4487
9209;782
1336;2803
1083;9248
2555;8774
836;1471
7531;2801
9686;1623
9064;6932
5808;9546
681;2409
5879;4883
6060;4854
8956;6499
1840;8899
4208;488
4212;9643
2493;2055
825;9171
8023;8796
3423;2569
433;5523
3360;9344
9447;3659
1710;2969
4048;1450
8008;3423
5551;4766
6843;4964
9316;2099
9496;4191
2955;1519
8619;1444
9857;1804
7524;2003
5586;4748
2113;2210
1317;731
2663;9632
2813;5031
4753;5698
5692;8088
3452;3850
